label,description,score_type,weight,severity,section,item_type,branch,expectation,ai_check,consent_gate
End of initial rate period and payment shock explained,"Did the adviser explain what happens when the initial fixed or discounted period ends — that the rate reverts, that the payment will change, and that the customer will need to review? Leaving a customer unaware of the reversion is a leading cause of later complaints.",binary,2,critical,Suitability,ai,,,,false
Recommendation explicitly linked to stated needs,Did the adviser explicitly justify the specific recommendation against the needs and circumstances the customer had stated earlier in the call?,binary,2,critical,Suitability,ai,,,,false
Alternatives considered and rejection explained,"Did the adviser reference alternatives that were considered and briefly explain why they were not recommended, rather than presenting a single option with no comparison?",binary,1,medium,Suitability,ai,,,,false
Product transfer versus remortgage compared,"On a remortgage or rate review, did the adviser compare staying with the existing lender (product transfer) against moving, including the cost and effort of each? Mark not applicable on a new purchase.",binary,1,medium,Suitability,ai,,,,false
"Total cost of borrowing explained, not just the monthly payment","Did the adviser explain the overall cost — total interest over the term or the true cost over the deal period — rather than presenting only the monthly payment? A cheap monthly payment that hides a high total cost is a fair value failure.",binary,1.5,high,Costs,ai,,,,false
Early repayment charges explained,"Did the adviser explain any early repayment charge: that it exists, roughly how much it is, and for how long it applies?",binary,2,critical,Costs,ai,,,,false
"Product, valuation and legal fees explained","Did the adviser explain the other costs of the transaction — arrangement or product fee, valuation, legal or conveyancing costs — and whether any are added to the loan?",binary,1.5,high,Costs,ai,,,,false
Overpayments and portability explained where material,"Where relevant to this customer, did the adviser explain overpayment allowances and whether the product is portable if they move?",binary,1,low,Costs,ai,,,,false
Affordability affirmatively checked,"Did the adviser check with the customer that the recommended payment is genuinely affordable and sustainable, rather than assuming affordability from the lender's calculator alone?",binary,2,critical,Affordability,ai,,,,false
Affordability at a higher rate discussed,Did the adviser discuss what would happen to the payment if interest rates rose — a stress or what-if conversation rather than presenting the current payment as fixed forever?,binary,1.5,high,Affordability,ai,,,,false
Vulnerability screened and responded to,"Did the adviser identify indicators of vulnerability — health, bereavement, financial stress, low capability or understanding, time pressure — and respond appropriately? A cue raised by the customer must be acknowledged and acted on, not passed over (FG21/1).",binary,2,critical,Affordability,ai,,,,false
Protection need raised,"Did the adviser raise the customer's protection position alongside the mortgage — what would happen to the mortgage on death, serious illness or loss of income? Credit is for raising and exploring the need, not for making a sale.",binary,1,medium,Related needs,ai,,,,false
Buildings insurance requirement mentioned,Did the adviser mention that buildings insurance will be required as a condition of the mortgage?,binary,1,low,Related needs,ai,,,,false
Understanding checked and questions invited,"Did the adviser check that the customer had understood the recommendation and its costs, and invite questions — rather than asking a closed ""does that all make sense?"" and moving on?",binary,1,medium,Close,ai,,,,false
"Next steps, timescales and documentation explained","Did the adviser explain what happens next, the likely timescales, and that the customer will receive written illustration and suitability documentation?",binary,1,medium,Close,ai,,,,false
No pressure or false urgency,"Was the recommendation given without high-pressure tactics or manufactured urgency? Genuine, factual deadlines (a rate withdrawal already announced by the lender, an agreed completion date) are acceptable; invented scarcity is not.",binary,2,critical,Close,ai,,,,false
Consent to proceed and credit search obtained,"Before proceeding to application, did the adviser explain that a credit search will be carried out and obtain the customer's clear agreement to proceed? Consent must be explicit and must not be inferred.",binary,2,critical,Close,ai,,,,true
